SkillName,Description,Example
"1password","N/A","N/A"
"apple-notes","N/A","N/A"
"apple-reminders","N/A","N/A"
"bear-notes","N/A","N/A"
"blogwatcher","N/A","N/A"
"blucli","N/A","N/A"
"bluebubbles","N/A","N/A"
"camsnap","N/A","N/A"
"canvas","N/A","N/A"
"clawhub","N/A","N/A"
"coding-agent","Delegate coding tasks to Codex; Claude Code; or Pi agents via background process. Use when: (1) building/creating new features or apps; (2) reviewing PRs (spawn in temp dir); (3) refactoring large codebases; (4) iterative coding that needs file exploration. NOT for: simple one-liner fixes (just edit); reading code (use read tool); thread-bound ACP harness requests in chat (for example spawn/run Codex or Claude Code in a Discord thread; use sessions_spawn with runtime:","N/A"
"discord","Discord ops via the message tool (channel=discord).","N/A"
"douyin-downloader","N/A","N/A"
"douyin-video-analyst","N/A","N/A"
"ecommerce-competitor-analysis","Cross-platform competitor analysis for e-commerce brands. Compare competitors across Amazon; Shopify; social media; and advertising channels. Build a complete competitive intelligence picture.","N/A"
"ecommerce-openclaw","N/A","N/A"
"eightctl","N/A","N/A"
"find-skills","Search and discover OpenClaw skills from various sources. Use when: user wants to find available skills; search for specific functionality; or discover new skills to install.","N/A"
"gemini","N/A","N/A"
"gh-issues","Fetch GitHub issues; spawn sub-agents to implement fixes and open PRs; then monitor and address PR review comments. Usage: /gh-issues [owner/repo] [--label bug] [--limit 5] [--milestone v1.0] [--assignee @me] [--fork user/repo] [--watch] [--interval 5] [--reviews-only] [--cron] [--dry-run] [--model glm-5] [--notify-channel -1002381931352]","N/A"
"gifgrep","N/A","N/A"
"github","GitHub operations via `gh` CLI: issues; PRs; CI runs; code review; API queries. Use when: (1) checking PR status or CI; (2) creating/commenting on issues; (3) listing/filtering PRs or issues; (4) viewing run logs. NOT for: complex web UI interactions requiring manual browser flows (use browser tooling when available); bulk operations across many repos (script with gh api); or when gh auth is not configured.","N/A"
"gog","N/A","N/A"
"goplaces","N/A","N/A"
"healthcheck","N/A","N/A"
"himalaya","CLI to manage emails via IMAP/SMTP. Use `himalaya` to list; read; write; reply; forward; search; and organize emails from the terminal. Supports multiple accounts and message composition with MML (MIME Meta Language).","N/A"
"imsg","N/A","N/A"
"liang-tavily-search","N/A","N/A"
"lossless-claw-enhanced","N/A","N/A"
"mcporter","N/A","N/A"
"memory-lancedb-pro","N/A","N/A"
"model-usage","N/A","N/A"
"multi-search-engine","Multi search engine integration with 17 engines (8 CN + 9 Global). Supports advanced search operators; time filters; site search; privacy engines; and WolframAlpha knowledge queries. No API keys required.","N/A"
"nano-pdf","N/A","N/A"
"node-connect","N/A","N/A"
"notion","N/A","N/A"
"obsidian","N/A","N/A"
"openai-whisper","N/A","N/A"
"openai-whisper-api","N/A","N/A"
"openclaw-workspace","N/A","N/A"
"opencode-cn","N/A","N/A"
"openhue","N/A","N/A"
"oracle","N/A","N/A"
"ordercli","N/A","N/A"
"peekaboo","N/A","N/A"
"playwright-scraper","N/A","N/A"
"proactive-agent","Transform AI agents from task-followers into proactive partners that anticipate needs and continuously improve. Now with WAL Protocol; Working Buffer; Autonomous Crons; and battle-tested patterns. Part of the Hal Stack 🦞","N/A"
"prompt-engineering-expert","N/A","N/A"
"sag","N/A","N/A"
"self-improving-agent-cn","AI自我改进与记忆系统 - 解决","N/A"
"session-logs","N/A","N/A"
"sherpa-onnx-tts","N/A","N/A"
"skill-creator","N/A","N/A"
"skills-main","N/A","N/A"
"slack","N/A","N/A"
"songsee","N/A","N/A"
"sonoscli","N/A","N/A"
"spotify-player","N/A","N/A"
"summarize","N/A","N/A"
"taskflow","N/A","N/A"
"taskflow-inbox-triage","N/A","N/A"
"things-mac","N/A","N/A"
"tmux","N/A","N/A"
"trello","N/A","N/A"
"video-frames","N/A","N/A"
"voice-call","N/A","N/A"
"wacli","N/A","N/A"
"weather","Get current weather and forecasts via wttr.in or Open-Meteo. Use when: user asks about weather; temperature; or forecasts for any location. NOT for: historical weather data; severe weather alerts; or detailed meteorological analysis. No API key needed.","N/A"
"web-scout","N/A","N/A"
"web-scraping","N/A","N/A"
"xurl","N/A","N/A"

